
2020-03-28 15:46:30.370740

2020-03-28 15:49:26.477308

2020-03-28 15:52:50.409315

2020-03-28 15:59:11.986837

2020-03-28 16:03:04.006320
train epoch: [1][27149/27150]| LR: 0.010000| Speed: 40.41/s| Remaining: 00:00:00 | Loss 2.445828|  JuncConf 0.190374| JuncRes 6.156849| BinConf 0.211840| BinRes 14.279181
train epoch: [2][27149/27150]| LR: 0.010000| Speed: 41.90/s| Remaining: 00:00:00 | Loss 1.824248|  JuncConf 0.160638| JuncRes 5.280301| BinConf 0.170089| BinRes 9.654866
train epoch: [3][27149/27150]| LR: 0.010000| Speed: 42.49/s| Remaining: 00:00:00 | Loss 1.696913|  JuncConf 0.154710| JuncRes 5.034806| BinConf 0.162537| BinRes 8.761881
train epoch: [4][27149/27150]| LR: 0.010000| Speed: 42.79/s| Remaining: 00:00:00 | Loss 1.617475|  JuncConf 0.151173| JuncRes 4.876727| BinConf 0.158649| BinRes 8.199794
train epoch: [5][27149/27150]| LR: 0.010000| Speed: 42.14/s| Remaining: 00:00:00 | Loss 1.560513|  JuncConf 0.149058| JuncRes 4.757261| BinConf 0.156338| BinRes 7.793903
train epoch: [6][27149/27150]| LR: 0.010000| Speed: 42.04/s| Remaining: 00:00:00 | Loss 1.514325|  JuncConf 0.147507| JuncRes 4.654068| BinConf 0.154730| BinRes 7.466724
train epoch: [7][27149/27150]| LR: 0.010000| Speed: 42.10/s| Remaining: 00:00:00 | Loss 1.475150|  JuncConf 0.146428| JuncRes 4.564363| BinConf 0.153585| BinRes 7.187030
train epoch: [8][27149/27150]| LR: 0.000100| Speed: 42.16/s| Remaining: 00:00:00 | Loss 1.294600|  JuncConf 0.140620| JuncRes 4.136395| BinConf 0.146850| BinRes 5.934872
train epoch: [9][27149/27150]| LR: 0.001000| Speed: 42.88/s| Remaining: 00:00:00 | Loss 1.258567|  JuncConf 0.139409| JuncRes 4.035996| BinConf 0.145581| BinRes 5.699753
train epoch: [10][27149/27150]| LR: 0.001000| Speed: 42.64/s| Remaining: 00:00:00 | Loss 1.240021|  JuncConf 0.139034| JuncRes 3.979417| BinConf 0.145110| BinRes 5.579348
train epoch: [11][27149/27150]| LR: 0.001000| Speed: 41.65/s| Remaining: 00:00:00 | Loss 1.225111|  JuncConf 0.138743| JuncRes 3.931622| BinConf 0.144808| BinRes 5.484045
train epoch: [12][27149/27150]| LR: 0.000010| Speed: 41.43/s| Remaining: 00:00:00 | Loss 1.196685|  JuncConf 0.138123| JuncRes 3.841208| BinConf 0.144176| BinRes 5.302663
train epoch: [13][27149/27150]| LR: 0.000100| Speed: 42.46/s| Remaining: 00:00:00 | Loss 1.193578|  JuncConf 0.138120| JuncRes 3.830382| BinConf 0.144107| BinRes 5.283165
train epoch: [14][27149/27150]| LR: 0.000100| Speed: 42.11/s| Remaining: 00:00:00 | Loss 1.191570|  JuncConf 0.138001| JuncRes 3.823567| BinConf 0.144078| BinRes 5.271314
